,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,Navigate
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Energy Eff Measures,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Enhanced Oil Recovery,Service requested,,,CIMS.Generic Fuels.Fuel Oil,,GJ,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Enhanced Oil Recovery,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Equipment Modification,Service requested,,,CIMS.Generic Fuels.Fuel Oil,,GJ,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Equipment Modification,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Leak Detection,Service requested,,,CIMS.Generic Fuels.Fuel Oil,,GJ,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Leak Detection,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Propane fired,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN,Service requested,,,CIMS.CAN.BC.Electricity,,GJ,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGENService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,Service requested,,,CIMS.CAN.BC.Electricity,,GJ,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGEN EffService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,Electric,FIC,,,,,$,"200,000,000",200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore,FIC,,,,,$,250,250,250,250,250,250,250,250,250,250,250,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN,Service requested,,,CIMS.CAN.BC.Petroleum Crude.Methane Fuel,,GJ,15.36,15,15,15,15,15,15,15,15,15,15,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGENService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,Service requested,,,CIMS.CAN.BC.Petroleum Crude.Methane Fuel,,GJ,15,15,15,15,15,15,15,15,15,15,15,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGEN EffService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN,FIC,,,,,$,"18,000,000",18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGENService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,FIC,,,,,$,"30,000,000",30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGEN EffService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Gasoline fired,FIC,,,,,$,12,12,12,12,12,12,12,12,12,12,12,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedFCC
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Diesel fired,FIC,,,,,$,12,12,12,12,12,12,12,12,12,12,12,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Biodiesel fired,FIC,,,,,$,20,20,20,20,20,20,20,20,20,20,20,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Small,Service,BC,Petroleum Crude,Small,Propane fired,FIC,,,,,$,10,10,10,10,10,10,10,10,10,10,10,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Gasoline fired,FIC,,,,,$,10,10,10,10,10,10,10,10,10,10,10,,CIMS.CAN.BC.Petroleum Crude.Industrial Engines.SmallBCSmallPropane firedFCC
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Diesel fired,FIC,,,,,$,14,14,14,14,14,14,14,14,14,14,14,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Biodiesel fired,FIC,,,,,$,28,28,28,28,28,28,28,28,28,28,28,,
CIMS.CAN.BC.Petroleum Crude.Industrial Engines.Large,Service,BC,Petroleum Crude,Large,Propane fired,FIC,,,,,$,9,9,9,9,9,9,9,9,9,9,9,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore,FIC,,,,,$,150,150,150,150,150,150,150,150,150,150,150,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG Eff,FIC,,,,,$,"9,000,000",9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGENService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG HR and reg burner,FIC,,,,,$,"9,000,000",9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,,CIMS.CAN.BC.Petroleum Crude.SteamPetroleum CrudeSteamNG COGEN EffService requestedCIMS.CAN.BC.Electricity
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG Eff CCS,FIC,,,,,$,"9,000,000",9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG,FIC,,,,,$," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 ",,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore,FIC,,,,,$,1000," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore ELDAR EM EE,FIC,,,,,$,100, 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 ,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Energy Eff Measures,FIC,,,,,$,100, 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 ,,
