,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,LFO high Eff,Market share new_max,,,,,%,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,LFO,Market share new_max,,,,,%,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,Petcoke,Market share new_max,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,Petcoke CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,HFO steam turbine,Market share new_max,,,,,%,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,Spark Ignition Reciprocating engine NG 6MW,Market share new_max,,,,,%,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,Petcoke CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,BPST NG 30 MW CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Ventilation,Service,QC,Petroleum Refining,Ventilation,High Eff backward inclined fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Ventilation,Service,QC,Petroleum Refining,Ventilation,High Eff radial fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Ventilation,Service,QC,Petroleum Refining,Ventilation,High Eff airfoil fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Ventilation,Service,QC,Petroleum Refining,Ventilation,High Eff vane axial tube axial fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Compression.Small,Service,QC,Petroleum Refining,Small,High Eff centrifugal compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Compression.Small,Service,QC,Petroleum Refining,Small,High Eff reciprocating compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Compression.Small,Service,QC,Petroleum Refining,Small,High Eff rotary compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Compression.Large,Service,QC,Petroleum Refining,Large,High Eff centrifugal compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Compression.Large,Service,QC,Petroleum Refining,Large,High Eff reciprocating compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Compression.Large,Service,QC,Petroleum Refining,Large,High Eff rotary compressor,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Pumping.General.Small,Service,QC,Petroleum Refining,Small,Med Eff centrifugal pump variable speed,Market share new_max,,,,,%,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
CIMS.CAN.QC.Petroleum Refining.Pumping.General.Small,Service,QC,Petroleum Refining,Small,High Eff centrifugal pump variable speed,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Pumping.General.Large,Service,QC,Petroleum Refining,Large,Med Eff centrifugal pump variable speed,Market share new_max,,,,,%,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
CIMS.CAN.QC.Petroleum Refining.Pumping.General.Large,Service,QC,Petroleum Refining,Large,High Eff centrifugal pump variable speed,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Pumping.Slurry Stock.Small,Service,QC,Petroleum Refining,Small,Eff rotary pump variable speed,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Pumping.Slurry Stock.Large,Service,QC,Petroleum Refining,Large,Eff rotary pump variable speed,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Pumping.Precision.Small,Service,QC,Petroleum Refining,Small,Eff reciprocating pump variable speed,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Pumping.Precision.Large,Service,QC,Petroleum Refining,Large,Eff reciprocating pump variable speed,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Petroleum Refining.Machine Drive.Size 6,Service,QC,Petroleum Refining,Size 6,DC solid state motor 500 hp,Market share new_min,,,,,%,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
CIMS.CAN.QC.Industrial Minerals.Products.Cement.Portland cement.Clinker.Dry process rotary kiln,Service,QC,Industrial Minerals,Dry process rotary kiln,New preheat Eff with CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Industrial Minerals.Products.Lime.Kilns,Service,QC,Industrial Minerals,Kilns,Rotary Coal with CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Industrial Minerals.Products.Lime.Kilns,Service,QC,Industrial Minerals,Kilns,Rotary NG with CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Industrial Minerals.Heat,Service,QC,Industrial Minerals,Heat,waste fuel Std,Market share new_max,,,,,%,0.041634177,0.041634177,0.041634177,0.041634177,0.041634177,0.041634177,0.041634177,0.041634177,0.041634177,0.041634177,0.041634177,
CIMS.CAN.QC.Industrial Minerals.Heat,Service,QC,Industrial Minerals,Heat,NG Eff with CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Industrial Minerals.Heat,Service,QC,Industrial Minerals,Heat,Coal Std with CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Industrial Minerals.Ventilation,Service,QC,Industrial Minerals,Ventilation,High Eff backward inclined fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Industrial Minerals.Ventilation,Service,QC,Industrial Minerals,Ventilation,High Eff radial fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Industrial Minerals.Ventilation,Service,QC,Industrial Minerals,Ventilation,High Eff airfoil fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.QC.Industrial Minerals.Ventilation,Service,QC,Industrial Minerals,Ventilation,High Eff vane axial tube axial fan,Market share new_max,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
