Year,Region,Economic Category,National Inventory Category,National Inventory Sub-category,National Inventory Sub-sub-category,CO2eq,Unit
2000,Alberta,Conventional Oil Production,CO2 Captured,Total,,0,Mt
2000,Alberta,Conventional Light Oil Production,Total,,,13.93242852,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Stationary Combustion,Stationary,1.936720183,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Stationary Combustion,Electricity,0,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Transport,,0.282968161,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Fugitive (Unintentional),,3.352585817,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Flaring,,1.514495889,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Venting,,6.845658467,Mt
2000,Alberta,Conventional Light Oil Production,Energy,Total,,13.93242852,Mt
2000,Alberta,Conventional Light Oil Production,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,Conventional Light Oil Production,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,Conventional Light Oil Production,Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,Conventional Light Oil Production,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,Conventional Light Oil Production,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0,Mt
2000,Alberta,Conventional Light Oil Production,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,Conventional Light Oil Production,Industrial Processes and Product Use,Total,,0,Mt
2000,Alberta,Conventional Light Oil Production,Agriculture,Manure Management,,0,Mt
2000,Alberta,Conventional Light Oil Production,Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,Conventional Light Oil Production,Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,Conventional Light Oil Production,Agriculture,Total,,0,Mt
2000,Alberta,Conventional Light Oil Production,Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,Conventional Light Oil Production,Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,Conventional Light Oil Production,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,Conventional Light Oil Production,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,Conventional Light Oil Production,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,Conventional Light Oil Production,Waste,Total,,0,Mt
2000,Alberta,Conventional Light Oil Production,CO2 Captured,Total,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Total,,,7.408906724,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Stationary Combustion,Stationary,1.189657128,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Stationary Combustion,Electricity,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Transport,,0.294457287,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Fugitive (Unintentional),,0.821440064,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Flaring,,0.608086379,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Venting,,4.495265866,Mt
2000,Alberta,Conventional Heavy Oil Production,Energy,Total,,7.408906724,Mt
2000,Alberta,Conventional Heavy Oil Production,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Industrial Processes and Product Use,Total,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Agriculture,Manure Management,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Agriculture,Total,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,Waste,Total,,0,Mt
2000,Alberta,Conventional Heavy Oil Production,CO2 Captured,Total,,0,Mt
2000,Alberta,Frontier Oil Production,Total,,,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Stationary Combustion,Stationary,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Stationary Combustion,Electricity,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Transport,,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Fugitive (Unintentional),,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Flaring,,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Venting,,0,Mt
2000,Alberta,Frontier Oil Production,Energy,Total,,0,Mt
2000,Alberta,Frontier Oil Production,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,Frontier Oil Production,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,Frontier Oil Production,Industrial Processes and Product Use,Metal Production,,0,Mt
