,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,Navigate
CIMS.CAN.BC.Coal Mining.Pumping.Precision.Large,Service,BC,Coal Mining,Large,Eff reciprocating pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Direct Drive,Service,BC,Coal Mining,Direct Drive,Motor speed control V belt,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Direct Drive,Service,BC,Coal Mining,Direct Drive,Motor speed control variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 1,Service,BC,Coal Mining,Size 1,AC motor 1 5 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 1,Service,BC,Coal Mining,Size 1,Eff AC motor 1 5 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 2,Service,BC,Coal Mining,Size 2,AC motor 6 25 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 2,Service,BC,Coal Mining,Size 2,Eff motor 6 25 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 3,Service,BC,Coal Mining,Size 3,AC motor 26 100 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 3,Service,BC,Coal Mining,Size 3,Eff AC motor 26 100 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 4,Service,BC,Coal Mining,Size 4,AC motor 101 200 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 4,Service,BC,Coal Mining,Size 4,Eff AC motor 101 200 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 5,Service,BC,Coal Mining,Size 5,AC motor 201 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 5,Service,BC,Coal Mining,Size 5,Eff AC motor 201 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 5,Service,BC,Coal Mining,Size 5,Synchronous AC motor 201 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 5,Service,BC,Coal Mining,Size 5,DC motor 201 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 5,Service,BC,Coal Mining,Size 5,DC solid state motor 201 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 6,Service,BC,Coal Mining,Size 6,Std AC motor 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 6,Service,BC,Coal Mining,Size 6,Eff AC motor 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 6,Service,BC,Coal Mining,Size 6,Scynchronous AC motor 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 6,Service,BC,Coal Mining,Size 6,DC motor 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Machine Drive.Size 6,Service,BC,Coal Mining,Size 6,DC solid state motor 500 hp,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
