"REF_DATE","GEO","DGUID","Coal and coke, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-04","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","174","","","","0"
"1946-04","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","62","","","","0"
"1946-04","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1208","","","t","0"
"1946-04","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","2385","","","t","0"
"1946-04","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","257","","","","0"
"1946-04","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","448","","","","0"
"1946-04","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","21","","","","0"
"1946-04","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","62","","","","0"
"1946-04","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","573","","","","0"
"1946-04","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","131","","","","0"
"1946-05","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1266","","","","0"
"1946-05","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","1032","","","","0"
"1946-05","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","174","","","","0"
"1946-05","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","60","","","","0"
"1946-05","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","473","","","t","0"
"1946-05","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","1676","","","t","0"
"1946-05","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","249","","","","0"
"1946-05","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","453","","","","0"
"1946-05","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","27","","","","0"
"1946-05","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","60","","","","0"
"1946-05","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","601","","","","0"
"1946-05","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","125","","","","0"
"1946-06","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1142","","","","0"
"1946-06","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","924","","","","0"
"1946-06","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","171","","","","0"
"1946-06","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","46","","","","0"
"1946-06","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1370","","","t","0"
"1946-06","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","2432","","","t","0"
"1946-06","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","267","","","","0"
"1946-06","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","366","","","","0"
"1946-06","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","27","","","","0"
"1946-06","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","46","","","","0"
"1946-06","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","579","","","","0"
"1946-06","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","125","","","","0"
"1946-07","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1047","","","","0"
"1946-07","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","851","","","","0"
"1946-07","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","147","","","","0"
"1946-07","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","49","","","","0"
"1946-07","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","2927","","","t","0"
"1946-07","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","3915","","","t","0"
"1946-07","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","184","","","","0"
"1946-07","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","288","","","","0"
"1946-07","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","29","","","","0"
"1946-07","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","49","","","","0"
"1946-07","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","565","","","","0"
"1946-07","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","114","","","","0"
"1946-08","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1264","","","","0"
"1946-08","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","961","","","","0"
"1946-08","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","244","","","","0"
"1946-08","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","58","","","","0"
"1946-08","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","3403","","","t","0"
"1946-08","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","4587","","","t","0"
"1946-08","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","181","","","","0"
"1946-08","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","361","","","","0"
"1946-08","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","33","","","","0"
"1946-08","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","58","","","","0"
"1946-08","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","696","","","","0"
"1946-08","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","114","","","","0"
"1946-09","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1297","","","","0"
"1946-09","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","934","","","","0"
"1946-09","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","247","","","","0"
"1946-09","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","114","","","","0"
"1946-09","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","3183","","","t","0"
"1946-09","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","4413","","","t","0"
"1946-09","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","177","","","","0"
"1946-09","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","408","","","","0"
"1946-09","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","28","","","","0"
"1946-09","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","114","","","","0"
"1946-09","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","649","","","","0"
"1946-09","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","98","","","","0"
"1946-10","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1474","","","","0"
"1946-10","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","1026","","","","0"
"1946-10","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","280","","","","0"
"1946-10","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","168","","","","0"
"1946-10","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","3692","","","t","0"
"1946-10","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","5089","","","t","0"
"1946-10","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","246","","","","0"
"1946-10","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","454","","","","0"
"1946-10","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","38","","","","0"
"1946-10","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","168","","","","0"
"1946-10","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","693","","","","0"
"1946-10","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","123","","","","0"
"1946-11","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1433","","","","0"
"1946-11","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","924","","","","0"
"1946-11","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","332","","","","0"
